# Force and moment coefficients
# dragDir     : (9.961909e-01 0.000000e+00 8.719920e-02)
# sideDir     : (0.000000e+00 1.000000e+00 -0.000000e+00)
# liftDir     : (-8.719920e-02 0.000000e+00 9.961909e-01)
# rollAxis    : (9.961909e-01 0.000000e+00 8.719920e-02)
# pitchAxis   : (0.000000e+00 1.000000e+00 -0.000000e+00)
# yawAxis     : (-8.719920e-02 0.000000e+00 9.961909e-01)
# magUInf     : 3.000000e+01
# lRef        : 2.000000e-01
# Aref        : 1.200000e-01
# CofR        : (5.000000e-02 -3.000000e-01 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	3.335859e+00	2.093556e+00	1.242304e+00	9.268134e+00	1.514517e+00	7.753617e+00	-3.119550e+00	4.256261e-01	-1.170428e-01	-6.719436e-03	-1.204025e-01	1.136830e-01
2             	2.218382e+00	1.456081e+00	7.623005e-01	7.027486e+00	1.287201e+00	5.740285e+00	-2.226542e+00	3.468904e-01	-8.581376e-02	-8.555618e-03	-9.009157e-02	8.153595e-02
3             	-1.290412e-01	-4.273111e-02	-8.631004e-02	2.132983e-01	2.191991e-01	-5.900783e-03	1.125499e-01	2.178946e-02	4.376231e-04	-9.320540e-03	-4.222647e-03	-5.097893e-03
4             	-1.632039e+00	-1.034488e+00	-5.975506e-01	-4.497670e+00	-5.840495e-01	-3.913620e+00	1.664785e+00	-2.184689e-01	6.062966e-02	-8.083556e-03	5.658788e-02	-6.467144e-02
5             	-1.464790e+00	-9.772537e-01	-4.875359e-01	-4.408852e+00	-6.710474e-01	-3.737804e+00	1.533378e+00	-2.448589e-01	6.302477e-02	-3.975637e-03	6.103696e-02	-6.501259e-02
6             	-1.846021e-01	-1.743877e-01	-1.021439e-02	-8.968743e-01	-1.927542e-01	-7.041201e-01	2.556830e-01	-8.208664e-02	1.624870e-02	8.221936e-04	1.665979e-02	-1.583760e-02
7             	8.437691e-01	5.046428e-01	3.391262e-01	2.198521e+00	3.033658e-01	1.895156e+00	-7.958948e-01	8.275831e-02	-2.694868e-02	1.820287e-03	-2.603854e-02	2.785883e-02
8             	9.234727e-01	5.918541e-01	3.316186e-01	2.653520e+00	4.469903e-01	2.206530e+00	-8.797696e-01	1.301177e-01	-3.545197e-02	-1.808938e-03	-3.635644e-02	3.454751e-02
9             	2.114034e-01	1.468868e-01	6.451652e-02	6.227313e-01	1.896769e-01	4.330544e-01	-1.216887e-01	4.118516e-02	-8.695100e-03	-6.988639e-03	-1.218942e-02	5.200780e-03
10            	-4.115608e-01	-2.691341e-01	-1.424267e-01	-1.288889e+00	-1.073853e-01	-1.181504e+00	5.370593e-01	-6.335367e-02	1.732381e-02	-8.956734e-03	1.284545e-02	-2.180218e-02
11            	-5.100042e-01	-3.501532e-01	-1.598510e-01	-1.653605e+00	-2.179019e-01	-1.435703e+00	6.089004e-01	-9.515109e-02	2.271880e-02	-6.734356e-03	1.935162e-02	-2.608598e-02
12            	-1.313673e-01	-1.074553e-01	-2.391201e-02	-5.137212e-01	-1.000834e-01	-4.136378e-01	1.567772e-01	-4.177163e-02	7.099899e-03	-2.510625e-03	5.844587e-03	-8.355211e-03
13            	2.400997e-01	1.410138e-01	9.908593e-02	6.559279e-01	6.716733e-02	5.887606e-01	-2.607966e-01	2.096393e-02	-8.938048e-03	-4.112630e-04	-9.143679e-03	8.732416e-03
14            	3.216462e-01	2.038072e-01	1.178391e-01	9.311145e-01	1.400426e-01	7.910718e-01	-3.255146e-01	4.298406e-02	-1.306456e-02	-1.732400e-03	-1.393076e-02	1.219836e-02
15            	1.188938e-01	7.346794e-02	4.542588e-02	2.854084e-01	8.031255e-02	2.050958e-01	-6.239164e-02	1.402103e-02	-4.143063e-03	-4.897995e-03	-6.592060e-03	1.694065e-03
16            	-9.173803e-02	-6.754276e-02	-2.419528e-02	-3.950291e-01	-1.389542e-02	-3.811337e-01	1.836191e-01	-2.167374e-02	5.308840e-03	-6.735375e-03	1.941152e-03	-8.676527e-03
17            	-1.479329e-01	-1.086669e-01	-3.926597e-02	-5.734664e-01	-6.371528e-02	-5.097511e-01	2.230179e-01	-3.470046e-02	7.967446e-03	-5.984985e-03	4.974953e-03	-1.095994e-02
18            	-4.524910e-02	-4.242714e-02	-2.821962e-03	-2.338241e-01	-4.517292e-02	-1.886512e-01	7.173912e-02	-1.980259e-02	3.323429e-03	-3.821662e-03	1.412598e-03	-5.234260e-03
19            	7.534258e-02	3.762651e-02	3.771608e-02	1.546765e-01	-1.950445e-03	1.566269e-01	-7.928868e-02	-4.478555e-05	-2.179714e-03	-2.491623e-03	-3.425525e-03	9.339026e-04
20            	1.096310e-01	6.155132e-02	4.807970e-02	2.455774e-01	1.904214e-02	2.265353e-01	-1.037466e-01	6.735812e-03	-3.887325e-03	-2.896955e-03	-5.335803e-03	2.438848e-03
21            	5.949224e-02	2.878228e-02	3.070996e-02	5.564351e-02	5.261855e-03	5.038166e-02	-2.255990e-02	-9.638375e-04	-1.738840e-03	-4.268947e-03	-3.873313e-03	-3.956333e-04
22            	-5.438507e-03	-1.550783e-02	1.006932e-02	-1.709531e-01	-2.418224e-02	-1.467708e-01	6.129429e-02	-1.278858e-02	1.279917e-03	-5.218540e-03	-1.329353e-03	-3.889187e-03
23            	-2.700030e-02	-3.084969e-02	3.849392e-03	-2.305484e-01	-4.208115e-02	-1.884673e-01	7.319306e-02	-1.734954e-02	2.402490e-03	-5.024286e-03	-1.096534e-04	-4.914633e-03
24            	-3.016330e-03	-1.584667e-02	1.283034e-02	-1.409515e-01	-4.435603e-02	-9.659549e-02	2.611973e-02	-1.433850e-02	1.435960e-03	-4.200513e-03	-6.642971e-04	-3.536216e-03
25            	3.124321e-02	6.832358e-03	2.441085e-02	-3.003561e-02	-3.871711e-02	8.681497e-03	-2.369930e-02	-8.789248e-03	-1.529999e-04	-3.599611e-03	-1.952805e-03	-1.646806e-03
26            	4.376772e-02	1.610233e-02	2.766540e-02	3.040621e-03	-3.386676e-02	3.690738e-02	-3.538707e-02	-5.781535e-03	-8.447873e-04	-3.650582e-03	-2.670078e-03	-9.805038e-04
27            	3.120314e-02	8.888915e-03	2.231423e-02	-4.476773e-02	-3.604668e-02	-8.721043e-03	-1.366282e-02	-6.712655e-03	-3.619941e-04	-4.136971e-03	-2.430479e-03	-1.706491e-03
28            	1.159045e-02	-3.818767e-03	1.540922e-02	-1.094753e-01	-4.411441e-02	-6.536084e-02	1.062322e-02	-9.613993e-03	5.835389e-04	-4.520118e-03	-1.676520e-03	-2.843598e-03
29            	3.118644e-03	-9.591876e-03	1.271052e-02	-1.306473e-01	-5.144527e-02	-7.920200e-02	1.387837e-02	-1.115120e-02	1.073978e-03	-4.511289e-03	-1.181667e-03	-3.329622e-03
