# Force and moment coefficients
# dragDir     : (9.961909e-01 0.000000e+00 8.719920e-02)
# sideDir     : (0.000000e+00 1.000000e+00 -0.000000e+00)
# liftDir     : (-8.719920e-02 0.000000e+00 9.961909e-01)
# rollAxis    : (9.961909e-01 0.000000e+00 8.719920e-02)
# pitchAxis   : (0.000000e+00 1.000000e+00 -0.000000e+00)
# yawAxis     : (-8.719920e-02 0.000000e+00 9.961909e-01)
# magUInf     : 3.000000e+01
# lRef        : 2.000000e-01
# Aref        : 1.200000e-01
# CofR        : (5.000000e-02 -3.000000e-01 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	2.701065e+00	8.328076e-01	1.868257e+00	7.392456e+00	-6.254837e+00	1.364729e+01	-9.951065e+00	-5.177248e-01	1.580465e+00	1.160971e+00	2.160951e+00	-9.999797e-01
2             	1.526245e+00	5.845458e-01	9.416994e-01	4.451685e+00	-3.548233e+00	7.999918e+00	-5.774076e+00	-1.785768e-01	7.627130e-01	6.333850e-01	1.079405e+00	-4.460205e-01
3             	-3.417002e-01	-2.233955e-02	-3.193606e-01	-6.032710e-01	7.793067e-01	-1.382578e+00	1.080942e+00	1.485105e-01	-3.536647e-01	-1.877053e-01	-4.475174e-01	2.598121e-01
4             	-1.346270e+00	-4.007244e-01	-9.455459e-01	-3.492779e+00	3.122688e+00	-6.615466e+00	4.869077e+00	2.724108e-01	-8.815106e-01	-6.199071e-01	-1.191464e+00	5.715570e-01
5             	-9.746925e-01	-3.269361e-01	-6.477564e-01	-2.759129e+00	2.319383e+00	-5.078512e+00	3.698947e+00	1.604101e-01	-5.651315e-01	-4.399577e-01	-7.851103e-01	3.451526e-01
6             	4.406097e-02	-1.748624e-02	6.154721e-02	-7.458833e-02	-6.216352e-02	-1.242480e-02	-2.486936e-02	-3.951673e-02	8.039009e-02	1.509999e-02	8.794008e-02	-7.284009e-02
7             	7.204720e-01	2.165026e-01	5.039693e-01	1.847712e+00	-1.662435e+00	3.510147e+00	-2.586291e+00	-1.437334e-01	4.531190e-01	3.092030e-01	6.077206e-01	-2.985175e-01
8             	6.628788e-01	2.316853e-01	4.311935e-01	1.796465e+00	-1.509538e+00	3.306003e+00	-2.407770e+00	-9.975413e-02	3.603411e-01	2.765078e-01	4.985950e-01	-2.220873e-01
9             	1.435746e-01	9.108845e-02	5.248617e-02	3.749076e-01	-2.293876e-01	6.042952e-01	-4.168414e-01	1.930114e-02	1.261274e-02	4.537509e-02	3.530028e-02	1.007481e-02
10            	-2.890268e-01	-4.813078e-02	-2.408960e-01	-8.722136e-01	8.165669e-01	-1.688781e+00	1.252674e+00	9.638260e-02	-2.412647e-01	-1.427241e-01	-3.126267e-01	1.699027e-01
11            	-3.380298e-01	-8.231606e-02	-2.557138e-01	-1.051661e+00	8.968619e-01	-1.948523e+00	1.422692e+00	8.669885e-02	-2.358812e-01	-1.603702e-01	-3.160663e-01	1.556961e-01
12            	-9.109273e-02	-2.461401e-02	-6.647872e-02	-3.463520e-01	2.356657e-01	-5.820177e-01	4.088417e-01	2.093236e-02	-5.613727e-02	-5.053062e-02	-8.140258e-02	3.087196e-02
13            	1.631158e-01	4.985287e-02	1.132629e-01	4.074750e-01	-4.131964e-01	8.206713e-01	-6.169339e-01	-3.170502e-02	1.025245e-01	5.988273e-02	1.324659e-01	-7.258313e-02
14            	2.333650e-01	8.277041e-02	1.505946e-01	6.206154e-01	-5.590188e-01	1.179634e+00	-8.693265e-01	-3.391211e-02	1.281929e-01	8.924446e-02	1.728151e-01	-8.357069e-02
15            	1.255559e-01	6.556685e-02	5.998908e-02	2.881504e-01	-2.381079e-01	5.262583e-01	-3.821831e-01	2.788882e-03	4.190683e-02	4.192677e-02	6.287022e-02	-2.094345e-02
16            	-1.600923e-02	3.104430e-02	-4.705353e-02	-1.478623e-01	1.424551e-01	-2.903174e-01	2.163862e-01	3.904891e-02	-5.264118e-02	-1.913335e-02	-6.220786e-02	4.307451e-02
17            	-7.417360e-02	1.099244e-02	-8.516604e-02	-3.152478e-01	2.682639e-01	-5.835117e-01	4.258878e-01	4.807924e-02	-8.206949e-02	-4.410870e-02	-1.041238e-01	6.001514e-02
18            	-3.195942e-02	1.411916e-02	-4.607859e-02	-1.554285e-01	1.113914e-01	-2.668199e-01	1.891057e-01	3.009888e-02	-4.470992e-02	-2.656255e-02	-5.799119e-02	3.142864e-02
19            	4.407580e-02	2.917372e-02	1.490208e-02	1.074979e-01	-1.185716e-01	2.260695e-01	-1.723205e-01	7.135819e-03	8.827446e-03	5.227995e-03	1.144144e-02	-6.213448e-03
20            	8.477150e-02	4.106429e-02	4.370721e-02	2.414545e-01	-2.218525e-01	4.633070e-01	-3.425797e-01	-1.321457e-03	3.244623e-02	2.224481e-02	4.356864e-02	-2.132383e-02
