# Force and moment coefficients
# dragDir     : (9.961909e-01 0.000000e+00 8.719920e-02)
# sideDir     : (0.000000e+00 1.000000e+00 -0.000000e+00)
# liftDir     : (-8.719920e-02 0.000000e+00 9.961909e-01)
# rollAxis    : (9.961909e-01 0.000000e+00 8.719920e-02)
# pitchAxis   : (0.000000e+00 1.000000e+00 -0.000000e+00)
# yawAxis     : (-8.719920e-02 0.000000e+00 9.961909e-01)
# magUInf     : 3.000000e+01
# lRef        : 2.077000e-01
# Aref        : 1.200000e-01
# CofR        : (5.000000e-02 -3.000000e-01 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	4.215789e+00	6.008671e+00	-1.792883e+00	1.409357e+01	-8.931565e-01	1.498672e+01	-7.939940e+00	3.900777e+00	-1.259478e+00	-9.837718e-02	-1.308666e+00	1.210289e+00
2             	2.706355e+00	3.994630e+00	-1.288275e+00	9.833315e+00	-2.074907e-01	1.004081e+01	-5.124148e+00	2.641453e+00	-7.804942e-01	-6.676379e-02	-8.138761e-01	7.471123e-01
3             	-2.236382e-01	-1.516326e-01	-7.200561e-02	-1.097046e-01	3.623010e-01	-4.720055e-01	4.171533e-01	-3.981350e-02	6.558430e-02	-1.245808e-02	5.935526e-02	-7.181334e-02
4             	-2.003214e+00	-2.781719e+00	7.785049e-01	-6.521957e+00	5.245584e-01	-7.046516e+00	3.785537e+00	-1.780112e+00	5.786789e-01	2.256810e-02	5.899629e-01	-5.673948e-01
5             	-1.699825e+00	-2.504200e+00	8.043747e-01	-5.961323e+00	2.518771e-01	-6.213200e+00	3.232539e+00	-1.654287e+00	4.905214e-01	2.180228e-02	5.014225e-01	-4.796202e-01
6             	-1.164745e-01	-3.269420e-01	2.104676e-01	-8.186150e-01	-1.349815e-01	-6.836336e-01	2.743261e-01	-2.687048e-01	3.196363e-02	-5.318910e-04	3.169768e-02	-3.222957e-02
7             	1.110533e+00	1.461976e+00	-3.514431e-01	3.468117e+00	-2.911731e-01	3.759290e+00	-2.025231e+00	9.067096e-01	-3.227274e-01	-1.979038e-02	-3.326226e-01	3.128322e-01
8             	1.138051e+00	1.597330e+00	-4.592789e-01	3.824259e+00	-1.469779e-01	3.971236e+00	-2.059107e+00	1.028304e+00	-3.280824e-01	-2.171694e-02	-3.389409e-01	3.172239e-01
9             	2.010095e-01	2.887928e-01	-8.778326e-02	7.572999e-01	1.150164e-01	6.422836e-01	-2.636336e-01	1.882880e-01	-4.762926e-02	-9.165363e-03	-5.221194e-02	4.304658e-02
10            	-5.707032e-01	-8.589052e-01	2.882020e-01	-1.920406e+00	2.396594e-01	-2.160065e+00	1.199862e+00	-5.735536e-01	1.831561e-01	1.931183e-03	1.841217e-01	-1.821905e-01
11            	-6.487181e-01	-1.014504e+00	3.657861e-01	-2.283304e+00	1.603625e-01	-2.443666e+00	1.302014e+00	-6.901451e-01	2.021764e-01	2.754819e-03	2.035538e-01	-2.007990e-01
12            	-1.283422e-01	-2.596438e-01	1.313016e-01	-5.438943e-01	-1.938332e-02	-5.245110e-01	2.525638e-01	-1.954727e-01	3.745734e-02	-5.141968e-03	3.488636e-02	-4.002833e-02
13            	3.477203e-01	4.590288e-01	-1.113085e-01	1.117581e+00	-1.160877e-01	1.233668e+00	-6.748780e-01	2.851687e-01	-1.097779e-01	-1.213316e-02	-1.158445e-01	1.037113e-01
14            	4.241956e-01	5.931478e-01	-1.689522e-01	1.418699e+00	-7.807821e-02	1.496777e+00	-7.874276e-01	3.810500e-01	-1.302778e-01	-1.262787e-02	-1.365917e-01	1.239638e-01
15            	1.318801e-01	1.568286e-01	-2.494852e-02	4.146239e-01	3.595960e-02	3.786643e-01	-1.713524e-01	9.088856e-02	-3.381477e-02	-7.619989e-03	-3.762476e-02	3.000477e-02
16            	-1.473238e-01	-2.762789e-01	1.289551e-01	-5.704565e-01	1.033880e-01	-6.738445e-01	3.886163e-01	-2.026170e-01	5.609657e-02	-3.358731e-03	5.441720e-02	-5.777594e-02
17            	-1.907974e-01	-3.513359e-01	1.605385e-01	-7.350694e-01	7.510217e-02	-8.101716e-01	4.426369e-01	-2.559372e-01	6.719467e-02	-3.214938e-03	6.558720e-02	-6.880214e-02
18            	-3.666331e-02	-1.135362e-01	7.687290e-02	-1.955179e-01	-9.052756e-05	-1.954273e-01	9.766841e-02	-9.520455e-02	1.367655e-02	-6.073310e-03	1.063990e-02	-1.671321e-02
19            	1.176449e-01	1.306984e-01	-1.305352e-02	3.510267e-01	-4.586249e-02	3.968892e-01	-2.213759e-01	7.187596e-02	-3.749286e-02	-8.559147e-03	-4.177244e-02	3.321329e-02
20            	1.441071e-01	1.735042e-01	-2.939712e-02	4.392823e-01	-3.466332e-02	4.739456e-01	-2.543045e-01	1.014507e-01	-4.393659e-02	-8.533317e-03	-4.820325e-02	3.966993e-02
21            	6.292482e-02	4.248555e-02	2.043926e-02	1.409527e-01	5.692654e-03	1.352600e-01	-6.478368e-02	1.102314e-02	-1.414351e-02	-6.769801e-03	-1.752841e-02	1.075861e-02
22            	-2.305433e-02	-9.756758e-02	7.451325e-02	-1.713373e-01	3.080730e-02	-2.021446e-01	1.164759e-01	-8.604041e-02	1.546530e-02	-5.316269e-03	1.280717e-02	-1.812344e-02
23            	-3.966843e-02	-1.213101e-01	8.164167e-02	-2.205478e-01	2.222488e-02	-2.427727e-01	1.324988e-01	-1.014759e-01	1.934983e-02	-5.347290e-03	1.667618e-02	-2.202347e-02
